Type,Beta,Realization,Skewness,Kurtosis,SkewnessSq
White (beta=0),0.0,38,0.009146183289673938,2.78365927203197,8.365266876831078e-05
White (beta=0),0.0,39,-0.02836834579819423,3.0044316306235337,0.0008047630433259241
White (beta=0),0.0,40,0.0011845679983082111,2.9889054871104186,1.403201342615922e-06
White (beta=0),0.0,41,0.004486103009709476,2.858463760397527,2.012512021372442e-05
White (beta=0),0.0,42,-0.01602476556847043,2.9381986748284112,0.0002567931115244354
White (beta=0),0.0,43,0.02588622330289168,3.010918030923697,0.0006700965568871722
White (beta=0),0.0,44,0.1871318135079715,3.105052356626608,0.035018315626782225
White (beta=0),0.0,45,-0.08043702633126351,3.113981832288136,0.006470115205016379
White (beta=0),0.0,46,-0.05443434092487329,2.845659577763859,0.002963097471925335
White (beta=0),0.0,47,0.01662263473982435,3.019652613006695,0.0002763119856936153
White (beta=0),0.0,48,0.10213694841209574,2.9219156440912224,0.010431956230935105
White (beta=0),0.0,49,0.1160880009141872,3.2125559125066276,0.013476423956252327
White (beta=0),0.0,50,-0.10787984183473198,3.0937642899455233,0.011638060274286788
White (beta=0),0.0,51,-0.04328775009903828,2.8037215299154803,0.0018738293086367885
White (beta=0),0.0,52,-0.046392576384537615,2.8220776838385473,0.0021522711435951573
White (beta=0),0.0,53,0.12280092224566463,3.149734426085974,0.01508006650438577
White (beta=0),0.0,54,0.008637451811108249,3.3762992222687966,7.460557378921717e-05
White (beta=0),0.0,55,-0.12792558202139392,3.2809121469592246,0.016364954535512385
White (beta=0),0.0,56,0.06223801634562169,2.7915636098954026,0.0038735706786378727
White (beta=0),0.0,57,-0.007839837467530003,3.3460301578154685,6.146305151728725e-05
White (beta=0),0.0,58,0.13210251958658772,3.217729906825515,0.017451075681124792
White (beta=0),0.0,59,0.02417030861017325,2.7974325704049603,0.0005842038183110151
White (beta=0),0.0,60,0.11745983661890824,3.2158709098598863,0.013796813218540618
White (beta=0),0.0,61,-0.030477914472964027,2.9310054610602108,0.0009289032706213101
White (beta=0),0.0,62,-0.06889590074686512,3.0073914780865154,0.00474664513972189
White (beta=0),0.0,63,-0.21569047448517867,2.8700698435499,0.04652238078364151
White (beta=0),0.0,64,0.0703628356236036,3.0811735761881076,0.00495092863699426
White (beta=0),0.0,65,0.0012888552064714667,2.893544990705875,1.6611477432486069e-06
White (beta=0),0.0,66,-0.083230148584573,3.0337751570364233,0.0069272576334101
White (beta=0),0.0,67,-0.004963410270366312,2.980122412205541,2.463544151197779e-05
White (beta=0),0.0,68,-0.10666533365498346,3.358884374721619,0.011377493403728947
White (beta=0),0.0,69,0.07400435680471924,3.0051607057277496,0.005476644826080196
White (beta=0),0.0,70,0.0820444253408237,2.982014972871482,0.006731287729505995
White (beta=0),0.0,71,0.020156602405407648,3.0286903036005226,0.00040628862052968534
White (beta=0),0.0,72,0.04345845774870782,2.8436729779503107,0.0018886375498962224
White (beta=0),0.0,73,-0.11372786287416642,2.9505067910705507,0.012934026793925201
White (beta=0),0.0,74,0.026197388383144008,3.0509003372759924,0.0006863031580972886
White (beta=0),0.0,75,0.010748778471892737,3.1037215714024833,0.00011553623863782476
White (beta=0),0.0,76,0.041741093665872614,2.7287633593974503,0.0017423189004231508
White (beta=0),0.0,77,0.081010842565099,3.05158995737799,0.006562756613107255
White (beta=0),0.0,78,0.003391832783668917,3.158593216945535,1.1504529632371235e-05
White (beta=0),0.0,79,-0.1563540757256629,3.2100294340023163,0.02444659699602633
White (beta=0),0.0,80,-0.08615692377235466,2.9870376971126342,0.007423015513915332
White (beta=0),0.0,81,-0.029040113501244434,2.974561471222307,0.0008433281921651593
White (beta=0),0.0,82,-0.1348145195817378,2.85164793643587,0.018174954690054763
White (beta=0),0.0,83,0.02183188693884695,3.0024535059312987,0.00047663128731059603
White (beta=0),0.0,84,-0.06494220446572589,2.982323178410808,0.004217489920868148
White (beta=0),0.0,85,-0.025104179514027235,2.9037131678559955,0.0006302198290725047
White (beta=0),0.0,86,-0.08325567144801826,3.408360700024744,0.0069315068282603635
White (beta=0),0.0,87,-0.04843724538123276,2.7993153112316898,0.002346166740121754
White (beta=0),0.0,88,0.006580513397134695,2.8743347713642646,4.330315656986921e-05
White (beta=0),0.0,89,-0.07338127150433855,3.030461783042869,0.00538481100759345
White (beta=0),0.0,90,0.01042187471391212,3.1098947403549078,0.00010861547255248083
White (beta=0),0.0,91,-0.133268615070746,3.2093910469711453,0.017760523762874666
White (beta=0),0.0,92,0.10437461197715153,2.8771135150453344,0.010894059625380944
White (beta=0),0.0,93,0.0029945674442982692,3.2345309447601847,8.967434178451068e-06
White (beta=0),0.0,94,0.09093752136517234,2.802102114400459,0.008269632792041176
White (beta=0),0.0,95,0.10789850410866011,3.0421951717711346,0.011642087188886544
White (beta=0),0.0,96,-0.05075899686785671,2.8958362285284447,0.0025764757630310875
White (beta=0),0.0,97,-0.044755627353379956,3.156452333990065,0.0020030661797946123
White (beta=0),0.0,98,0.10654951386223659,3.27313945957297,0.011352798904278946
White (beta=0),0.0,99,-0.018924122952513132,3.0710495489262617,0.00035812242952183433
Pink (beta=1),1.0,0,-0.21955851089918518,2.9594734154133167,0.04820593970826762
Pink (beta=1),1.0,1,-0.010201629106302817,2.717190394979156,0.00010407323642256483
Pink (beta=1),1.0,2,0.08771430902444576,2.924339616249993,0.007693800007635966
Pink (beta=1),1.0,3,-0.008685192149715078,2.998136530686137,7.543256267747242e-05
Pink (beta=1),1.0,4,0.14556220465065814,2.5979013679332397,0.021188355422760083
Pink (beta=1),1.0,5,0.048318278422908034,3.0699194401260845,0.00233465602975366
Pink (beta=1),1.0,6,-0.07164758768888757,2.9556157522212567,0.0051333768216368335
Pink (beta=1),1.0,7,0.04332155639984665,3.219824818437187,0.0018767572489050944
Pink (beta=1),1.0,8,0.02318914696354533,2.6813317151282168,0.0005377365368969037
Pink (beta=1),1.0,9,0.018267943358049314,2.769803904266175,0.00033371775453289805
Pink (beta=1),1.0,10,-0.002033137666401259,2.831140363947657,4.133648770539556e-06
Pink (beta=1),1.0,11,0.049432889968108025,3.210446404318534,0.002443610610599075
Pink (beta=1),1.0,12,0.08603246961896163,2.740946680629122,0.0074015858287375565
Pink (beta=1),1.0,13,0.06696783234820813,2.8462346858347845,0.004484690569417712
Pink (beta=1),1.0,14,-0.33915720706833974,2.7581788988106295,0.11502761110639668
Pink (beta=1),1.0,15,0.018143478839999092,2.8167841097242645,0.0003291858244174948
Pink (beta=1),1.0,16,-0.00033599406740530925,2.919957929208347,1.128920133315635e-07
Pink (beta=1),1.0,17,-0.07011760176987064,2.7702944412780535,0.004916478077958166
Pink (beta=1),1.0,18,-0.06314598519816715,2.7742195247597707,0.003987415446647145
Pink (beta=1),1.0,19,-0.1814333280755867,2.6619345999546207,0.03291805253658348
Pink (beta=1),1.0,20,0.016659494966493354,2.7171742927241267,0.0002775387725386174
Pink (beta=1),1.0,21,-0.18730710801479947,2.7655810174291853,0.03508395271286775
Pink (beta=1),1.0,22,-0.11160385241874377,3.2982159201528045,0.012455419874704738
Pink (beta=1),1.0,23,-0.03930591615441055,2.7805029560324206,0.0015449550447375522
Pink (beta=1),1.0,24,-0.16257904823403874,2.9343643201160803,0.026431946924685895
Pink (beta=1),1.0,25,-0.12309166742801876,2.869106609114579,0.015151558590209975
Pink (beta=1),1.0,26,-0.06417149628346304,3.536894065292738,0.004117980935258511
Pink (beta=1),1.0,27,0.22832447131205436,2.771613630682985,0.052132064199929135
Pink (beta=1),1.0,28,-0.009412503298962946,2.5643804575607185,8.859521835298833e-05
Pink (beta=1),1.0,29,0.0058263865980947,2.747149184771544,3.3946780790457526e-05
Pink (beta=1),1.0,30,-0.060717888698102455,2.5439122623294717,0.003686662007955158
Pink (beta=1),1.0,31,-0.04780692035941422,2.909650130646656,0.002285501634251374
Pink (beta=1),1.0,32,-0.22203980737593598,3.1639374046572004,0.049301676059542755
Pink (beta=1),1.0,33,-0.0802543519962825,2.910473584638364,0.006440761014343213
Pink (beta=1),1.0,34,-0.007938312644061288,2.508823618179823,6.301680763486332e-05
Pink (beta=1),1.0,35,0.02565688059393681,2.8599954847704634,0.0006582755218115312
Pink (beta=1),1.0,36,0.0405376838593394,2.626953145046504,0.0016433038126797465
Pink (beta=1),1.0,37,-0.08635155852443761,3.0358289349683885,0.0074565916595993745
Pink (beta=1),1.0,38,-0.1417919366196597,2.845786621362428,0.02010495329035359
Pink (beta=1),1.0,39,-0.014129470579392376,2.7740072727341856,0.00019964193885391472
Pink (beta=1),1.0,40,0.038264557012982266,3.2727893890557733,0.0014641763233997703
Pink (beta=1),1.0,41,-0.2178108416271855,3.1316548588749997,0.04744156273034288
Pink (beta=1),1.0,42,0.013452156453079307,2.7255162329155445,0.00018096051323812323
Pink (beta=1),1.0,43,-0.19442252611812752,3.067976243513421,0.03780011866215398
Pink (beta=1),1.0,44,-0.05848818867245532,2.667403322183891,0.0034208682141847304
Pink (beta=1),1.0,45,-0.002175160774789646,2.791421169611741,4.731324396183493e-06
Pink (beta=1),1.0,46,0.3000201371918388,2.639284038848578,0.09001208272060977
Pink (beta=1),1.0,47,-0.18674456538833306,2.692702440983844,0.0348735327020774
Pink (beta=1),1.0,48,-0.16635040913199053,3.2117432902956393,0.02767245861838064
Pink (beta=1),1.0,49,0.08945389909148073,2.479361237957441,0.008002000062668817
Pink (beta=1),1.0,50,-0.13449029430317483,2.7637094574005046,0.01808763926175458
Pink (beta=1),1.0,51,-0.1328625000904265,2.7852418023986263,0.01765244393027858
Pink (beta=1),1.0,52,0.14585883227264518,3.1273779865897895,0.02127479895193964
Pink (beta=1),1.0,53,0.052562439353020386,3.1020221623000785,0.0027628100307399463
Pink (beta=1),1.0,54,0.21336023722886716,3.3210557626492365,0.04552259083035847
Pink (beta=1),1.0,55,0.18220136090417458,2.72043661425917,0.033197335915333276
Pink (beta=1),1.0,56,-0.6046251888497316,3.560177560828569,0.3655716189915736
Pink (beta=1),1.0,57,0.30919438332058974,2.7732062845241767,0.09560116667699978
Pink (beta=1),1.0,58,0.20312925004846016,3.0894918955382074,0.04126149222524985
Pink (beta=1),1.0,59,-0.11626646853808648,2.8232894915066566,0.013517891706317852
Pink (beta=1),1.0,60,0.19719733113496546,3.0192670193259485,0.03888678740675322
Pink (beta=1),1.0,61,0.31071671536584095,2.8156561619364253,0.09654487720773702
Pink (beta=1),1.0,62,-0.018645680130000977,2.7198794810740967,0.00034766138751031326
Pink (beta=1),1.0,63,0.0009117919873931445,2.8587548982905218,8.313646282743401e-07
Pink (beta=1),1.0,64,0.12526897693729955,3.250838271997966,0.015692316582917688
Pink (beta=1),1.0,65,-0.080647142071082,2.624473162300793,0.006503961524233285
Pink (beta=1),1.0,66,0.33087091356997966,2.6465215519221044,0.10947556144663295
Pink (beta=1),1.0,67,-0.0765636413830135,2.5123060394453716,0.005861991181826697
Pink (beta=1),1.0,68,-0.011664383604220292,2.863746238538519,0.00013605784486640319
Pink (beta=1),1.0,69,-0.182049458256888,3.045298346012369,0.03314200525162641
Pink (beta=1),1.0,70,-0.16007022141541738,2.4235187258091577,0.025622475783980744
Pink (beta=1),1.0,71,-0.27023180390178453,3.015337034479602,0.07302522784001253
Pink (beta=1),1.0,72,-0.16984065428383918,3.134124397112182,0.02884584784756258
Pink (beta=1),1.0,73,-0.46335349348063437,3.2208753854517096,0.21469645992070827
Pink (beta=1),1.0,74,0.09982319473650719,2.7873769101119357,0.009964670207402637
Pink (beta=1),1.0,75,-0.01389102959134084,2.8070538353783605,0.00019296070310750686
Pink (beta=1),1.0,76,-0.1791839988099815,2.8274748689080216,0.032106905429535454
Pink (beta=1),1.0,77,0.0649844867242092,3.1102680204842414,0.004222983514808922
Pink (beta=1),1.0,78,0.22392236530663456,2.8493768644778905,0.0501412256845179
Pink (beta=1),1.0,79,0.13518858106765502,2.921555459063369,0.018275952451085934
Pink (beta=1),1.0,80,0.11124569914996298,2.8112683054784053,0.012375605579364074
Pink (beta=1),1.0,81,0.12308155282432495,2.8148294663864015,0.015149068645647093
Pink (beta=1),1.0,82,0.02095618003392558,3.0723940866085666,0.0004391614816143011
Pink (beta=1),1.0,83,0.1601990355694737,2.994505288713972,0.025663730997389504
Pink (beta=1),1.0,84,5.141134868867426e-05,3.0694630425536653,2.6431267739884486e-09
Pink (beta=1),1.0,85,-0.1379604734066619,2.9974508275845304,0.019033092222590264
Pink (beta=1),1.0,86,-0.1904419534906341,2.935971621796109,0.03626813764932885
Pink (beta=1),1.0,87,0.08959589211818146,2.767155866037727,0.00802742388445281
Pink (beta=1),1.0,88,0.17298129351428337,2.909872852067756,0.029922527905874654
Pink (beta=1),1.0,89,0.057449782043429994,2.579827881115295,0.003300477456837611
Pink (beta=1),1.0,90,-0.05717356277340679,2.844574736824648,0.003268816280204686
Pink (beta=1),1.0,91,0.07207047906480642,3.3854117068009253,0.0051941539526307
Pink (beta=1),1.0,92,0.022218625941071185,2.6224182029342704,0.0004936673387092414
Pink (beta=1),1.0,93,-0.06306747187304453,2.859685453579624,0.003977506008457262
Pink (beta=1),1.0,94,0.018422290929197623,2.7392889831991183,0.000339380803079997
Pink (beta=1),1.0,95,-0.030316774582067295,2.8712960573845923,0.0009191068210598816
Pink (beta=1),1.0,96,-0.26385238253033005,3.108283747462226,0.06961807976693161
Pink (beta=1),1.0,97,0.0710040189018376,2.9149121164763363,0.0050415707002125125
Pink (beta=1),1.0,98,-0.0057196309531976795,2.784582343479917,3.2714178240776995e-05
Pink (beta=1),1.0,99,0.4036846344433659,3.1014362566849476,0.16296128408567395
Red (beta=2),2.0,0,-0.4638015411676738,2.2410916794284703,0.21511186958950942
Red (beta=2),2.0,1,-0.1691951063424385,2.4787340774985975,0.028626984010229076
Red (beta=2),2.0,2,0.48340944674554776,1.8685271588125651,0.23368469320283658
Red (beta=2),2.0,3,-0.5142590464244717,2.278831252603516,0.264462366829407
Red (beta=2),2.0,4,0.0826681649764057,2.090848083601124,0.006834025500566229
Red (beta=2),2.0,5,0.19290136710525116,3.36364958250654,0.03721093743107488
Red (beta=2),2.0,6,0.47134380282618915,2.3504306544255957,0.22216498046265348
Red (beta=2),2.0,7,0.4652840999846079,2.2524992696002877,0.2164892936984866
Red (beta=2),2.0,8,-0.47583666375138095,2.019716507154006,0.22642053057004477
Red (beta=2),2.0,9,-0.16016991262527147,2.2686656778194196,0.025654400910387096
Red (beta=2),2.0,10,-0.18576603071569556,1.9429567178147111,0.034509018167864745
Red (beta=2),2.0,11,-0.2923016217831607,2.554292186710471,0.08544023809706594
Red (beta=2),2.0,12,0.06595545439552064,2.031090712414065,0.004350121964519603
Red (beta=2),2.0,13,-0.08760220379167118,1.8090444914568322,0.0076741461091574875
Red (beta=2),2.0,14,0.16448460112124902,2.112279495882287,0.027055184006016395
Red (beta=2),2.0,15,-0.46618442171141694,2.739582447715895,0.21732791504640822
Red (beta=2),2.0,16,0.1562617848460027,2.3704494139493852,0.024417745403258438
Red (beta=2),2.0,17,0.17077543230160497,2.0984065184381193,0.02916424827780006
Red (beta=2),2.0,18,0.07498824847696786,1.8134526295229738,0.0056232374096434725
Red (beta=2),2.0,19,-0.138743835549847,1.9245222376203288,0.019249851903082992
Red (beta=2),2.0,20,0.353414860979299,2.670118897198935,0.12490206396101722
Red (beta=2),2.0,21,-0.4152208045592224,2.1024950122620334,0.17240831653880795
Red (beta=2),2.0,22,0.26761132417272576,2.81035338884637,0.07161582082547971
Red (beta=2),2.0,23,-0.10711182994665223,2.26971964269563,0.011472944114520546
Red (beta=2),2.0,24,-0.3976655278248747,2.8972175032892826,0.1581378720202362
Red (beta=2),2.0,25,-0.05917313204746927,2.1885258579995894,0.0035014595563072344
Red (beta=2),2.0,26,-0.20825430854682891,2.347318827617409,0.04336985702831782
Red (beta=2),2.0,27,-0.7882194645447747,2.6076971097460113,0.6212899242872513
Red (beta=2),2.0,28,-0.3804410137065569,1.8407687940521607,0.14473536491007263
Red (beta=2),2.0,29,-0.1075748852585966,1.9181653101256166,0.011572355938400223
Red (beta=2),2.0,30,-0.33082165933618907,2.21873797366769,0.10944297028594953
Red (beta=2),2.0,31,1.0395170053930858,2.8971346179102646,1.0805956045014087
Red (beta=2),2.0,32,0.8217422946173535,2.7649025148449833,0.6752603987629934
Red (beta=2),2.0,33,0.6269396766139939,3.1112158287784424,0.3930533581128592
Red (beta=2),2.0,34,-0.5542530973110793,3.0437478388026995,0.3071964958789247
Red (beta=2),2.0,35,-0.4936115546276817,2.5424945894982773,0.2436523668619568
Red (beta=2),2.0,36,0.496223618520714,2.236795412825637,0.24623787957779109
Red (beta=2),2.0,37,-0.25509855359898037,2.010964288863616,0.06507527204829186
Red (beta=2),2.0,38,-0.41250190570940753,2.7133305694070198,0.17015782221389295
Red (beta=2),2.0,39,0.21230588211361195,1.8728164083422412,0.045073787580038896
Red (beta=2),2.0,40,-0.023943310497088238,2.0809052863090773,0.0005732821175599758
Red (beta=2),2.0,41,-0.2588760111135432,2.2326626332694515,0.06701678913005933
Red (beta=2),2.0,42,0.46731299343744337,2.526436561675739,0.218381433835464
Red (beta=2),2.0,43,0.3967932290776842,2.2459198486366265,0.15744486664189558
Red (beta=2),2.0,44,-0.12311524239406815,2.050662501405175,0.015157362909750156
Red (beta=2),2.0,45,-0.33407643790424857,2.8896121371625423,0.11160706636279125
Red (beta=2),2.0,46,0.05670296378069828,2.2105222589788203,0.0032152261015151807
Red (beta=2),2.0,47,0.06252182198298727,1.752120126227841,0.00390897822407235
Red (beta=2),2.0,48,0.010366499754637454,2.0873531405080854,0.0001074643171628984
Red (beta=2),2.0,49,-0.1310405070641815,1.9042149818916188,0.0171716144916378
Red (beta=2),2.0,50,-0.21776143718314292,1.7390417789905614,0.0474200435240679
Red (beta=2),2.0,51,-0.240636916274637,2.443459271070312,0.05790612547416667
Red (beta=2),2.0,52,0.027477047254153463,1.9800910827662017,0.0007549881258069824
Red (beta=2),2.0,53,-0.0961617410073588,2.696986668377139,0.00924708043356635
Red (beta=2),2.0,54,-0.35399105841562345,1.7079578255824044,0.12530966943821334
Red (beta=2),2.0,55,-0.7396245064546271,3.1721997274083007,0.5470444105482507
Red (beta=2),2.0,56,-0.1245678608991738,2.6643319707458284,0.015517151968995911
Red (beta=2),2.0,57,-0.6823758652205992,2.837929457182323,0.4656368214355614
Red (beta=2),2.0,58,0.11516290900687165,2.1853583993988996,0.013262495610924999
Red (beta=2),2.0,59,-0.3442185321590448,2.863367771960317,0.11848639788172736
Red (beta=2),2.0,60,-0.9052438512119617,3.449538075738568,0.8194664301570643
Red (beta=2),2.0,61,0.19687073677636896,2.164214671432286,0.03875808699887035
Red (beta=2),2.0,62,0.9483852461093818,3.781759794351815,0.8994345750379527
Red (beta=2),2.0,63,-0.12937457795860963,1.8717320709782401,0.01673778142196836
Red (beta=2),2.0,64,-0.04439401243760597,2.733767347368934,0.0019708283403103133
Red (beta=2),2.0,65,-0.47626141728797833,2.43210679436958,0.22682493759715383
Red (beta=2),2.0,66,0.3181053687877305,2.787175104041581,0.10119102565157802
Red (beta=2),2.0,67,0.0549049293352401,2.254777610562657,0.003014551265307709
Red (beta=2),2.0,68,0.07704141382424476,1.85416641928423,0.005935379444038532
Red (beta=2),2.0,69,-0.4576546497202568,3.396083862797269,0.20944777841057097
Red (beta=2),2.0,70,-0.4597787024364176,2.2012234873494223,0.21139645521411585
Red (beta=2),2.0,71,-0.003064277925274864,1.514134438292505,9.389799203326825e-06
Red (beta=2),2.0,72,-0.3815243659413391,1.7859367364312937,0.14556084180694082
Red (beta=2),2.0,73,-0.44413411885158643,2.3315753172854397,0.1972551155280751
Red (beta=2),2.0,74,-0.44320145897010527,2.209349468410691,0.1964275332332299
Red (beta=2),2.0,75,-0.14981286311977343,2.3305914135571713,0.02244389395614397
Red (beta=2),2.0,76,-0.2687602321817625,2.414493144946886,0.07223206240239488
Red (beta=2),2.0,77,0.016589492177543436,1.7037613460022285,0.00027521125070877484
Red (beta=2),2.0,78,-0.012468372234514335,2.9448638841065407,0.000155460306178408
Red (beta=2),2.0,79,-0.26818063834174566,2.600515182994181,0.07192085478138618
Red (beta=2),2.0,80,-0.3774309939684603,2.9850659738895806,0.1424541552080199
Red (beta=2),2.0,81,0.029455511917643947,2.3435995972989296,0.0008676271823304646
Red (beta=2),2.0,82,-0.4027858744327506,2.392682369737525,0.16223646064255554
Red (beta=2),2.0,83,0.1723688158396917,2.023846340160257,0.02971100867397756
Red (beta=2),2.0,84,0.23218482785351774,2.2410551753255596,0.053909794285367664
Red (beta=2),2.0,85,-0.3056636441938791,2.467899288309791,0.09343026338188232
Red (beta=2),2.0,86,-0.03484950699367721,1.6079674977843208,0.001214488137702357
Red (beta=2),2.0,87,0.5834758860599603,2.5013081022261714,0.3404441096134557
Red (beta=2),2.0,88,-0.5202256714058522,1.9634486404789904,0.2706347491896697
Red (beta=2),2.0,89,-0.19976320938549566,2.8155258599466806,0.03990533982399338
Red (beta=2),2.0,90,-0.4169897379774093,2.2507301539689575,0.17388044157846846
Red (beta=2),2.0,91,-0.15957668412712303,2.2195498485878526,0.0254647181170076
Red (beta=2),2.0,92,-0.17591020102735175,1.8506921224577286,0.030944398825483305
Red (beta=2),2.0,93,0.47239015101767257,2.6638502619596025,0.2231524547784995
Red (beta=2),2.0,94,-0.33723821307852664,2.37660661166167,0.11372961236039773
Red (beta=2),2.0,95,0.34853842943652036,2.3832286502443782,0.12147903679407628
Red (beta=2),2.0,96,0.47704461140763915,3.390440693675487,0.22757156127306544
Red (beta=2),2.0,97,0.5757465439876868,2.3582198084832844,0.33148408291376535
Red (beta=2),2.0,98,-0.033387180487087574,1.9932753894273632,0.0011147038208773612
Red (beta=2),2.0,99,-0.30452414001579087,2.2343947814381377,0.092734951852357
